feature,importance
pył zawieszony PM10_rolling_min_3h,0.26783276
pył zawieszony PM2.5,0.12188478
pył zawieszony PM10_rolling_max_3h,0.04242106
pył zawieszony PM10_lag1,0.03732541
pył zawieszony PM2.5_diff_1h,0.021128975
pył zawieszony PM10_rolling_mean_24h,0.019511962
pył zawieszony PM10_diff_1h,0.019401712
precipitation,0.0191379
dwutlenek azotu_diff_1h,0.01514023
dwutlenek azotu_diff_3h,0.015062739
precipitation_rolling_mean_24h,0.014873577
air_stagnation,0.014124731
hour,0.013529024
day_of_week,0.013208901
temp_diff_1h,0.013164174
pył zawieszony PM10_rolling_min_24h,0.012456636
wind_direction_10m,0.011880229
precipitation_lag1,0.01070477
pył zawieszony PM2.5_rolling_min_3h,0.01001898
pył zawieszony PM2.5_diff_3h,0.009891574
season,0.009800351
wind_speed_10m,0.009702453
wind_direction_10m_lag1,0.009097343
pył zawieszony PM10_diff_3h,0.008952327
temperature_2m,0.008639881
pył zawieszony PM2.5_rolling_min_24h,0.008575463
year,0.008496342
precipitation_lag3,0.008355478
temperature_2m_rolling_mean_24h,0.007821309
fog_potential,0.007728221
pył zawieszony PM2.5_lag1,0.0075888494
relative_humidity_2m,0.007552035
pył zawieszony PM2.5_rolling_mean_24h,0.0075049964
wind_speed_10m_lag1,0.0074612475
relative_humidity_2m_rolling_mean_24h,0.007372564
pył zawieszony PM10_rolling_max_24h,0.0071240067
pressure_msl,0.0068993624
month,0.0066476823
wind_speed_10m_lag3,0.00636616
dwutlenek azotu_rolling_max_24h,0.006327245
wind_direction_10m_lag3,0.0062086396
pył zawieszony PM2.5_rolling_max_24h,0.0061742393
pył zawieszony PM2.5_rolling_max_3h,0.0061664004
pył zawieszony PM10_lag6,0.0060493983
pressure_msl_rolling_mean_24h,0.0059737456
dwutlenek azotu,0.005922974
pył zawieszony PM10_lag3,0.0058660605
pył zawieszony PM2.5_lag12,0.0058428864
dwutlenek azotu_rolling_mean_24h,0.005699012
pył zawieszony PM2.5_lag24,0.0056754146
dwutlenek azotu_rolling_min_3h,0.005656763
wind_speed_10m_rolling_mean_24h,0.0056242724
temp_diff_24h,0.005605689
wind_direction_10m_rolling_mean_24h,0.0056030694
dwutlenek azotu_lag12,0.005486987
dwutlenek azotu_rolling_min_24h,0.0054109045
pył zawieszony PM2.5_lag3,0.0053721042
pył zawieszony PM2.5_lag6,0.0052959765
dwutlenek azotu_rolling_max_3h,0.005266425
dwutlenek azotu_lag6,0.005218499
dwutlenek azotu_lag3,0.005147044
dwutlenek azotu_lag24,0.005058652
dwutlenek azotu_lag1,0.005055489
pył zawieszony PM10_lag12,0.0050393026
pył zawieszony PM10_lag24,0.0048665204
